REEF_SITE,TRANSECT_NO,YEAR,MONTH,SURVEY_DATE,SUBSTRATE_COVER,GENUS,ABUNDANCE,PERCENT_ABUNDANCE
ATL,1,2013,AUG,26/08/13,LCC,PLATYGYRA,0,0
ATL,1,2013,AUG,26/08/13,LCC,PLEROGYRA,0,0
ATL,1,2013,AUG,26/08/13,LCC,POCILLOPORA,0,0
ATL,1,2013,AUG,26/08/13,LCC,PODOBACIA,0,0
ATL,1,2013,AUG,26/08/13,LCC,PORITES,9,9
ATL,1,2013,AUG,26/08/13,LCC,PSAMMOCORA,0,0
ATL,1,2013,AUG,26/08/13,LCC,SERIATOPORA,0,0
ATL,1,2013,AUG,26/08/13,LCC,STYLOPHORA,0,0
ATL,1,2013,AUG,26/08/13,LCC,TUBASTREA,0,0
ATL,1,2013,AUG,26/08/13,LCC,TURBINARIA,0,0
ATL,1,2013,AUG,26/08/13,OTHER,ANEMONE,1,1
ATL,1,2013,AUG,26/08/13,OTHER,CLAM,0,0
ATL,1,2013,AUG,26/08/13,OTHER,OTHER LIFE,0,0
ATL,1,2013,AUG,26/08/13,OTHER,SEA CUCUMBER,0,0
ATL,1,2013,AUG,26/08/13,OTHER,SPONGE,0,0
ATL,1,2013,AUG,26/08/13,OTHER,URCHIN,0,0
ATL,1,2013,AUG,26/08/13,OTHER,ZOANTHIDS,0,0
ATL,1,2013,AUG,26/08/13,RUBBLE,RUBBLE,0,0
ATL,1,2013,AUG,26/08/13,SAND,SAND,6,6
ATL,1,2013,AUG,26/08/13,SC,SOFT CORAL,0,0
ATL,1,2013,AUG,5/08/13,ALGAE,ALGAE,0,0
ATL,1,2013,AUG,5/08/13,ALGAE,CRUSTOSE CORALLINE ALGAE,0,0
ATL,1,2013,AUG,5/08/13,DCA,DCA,48,47.5
ATL,1,2013,AUG,5/08/13,LCC,ACANTHASTREA,0,0
ATL,1,2013,AUG,5/08/13,LCC,ACROPORA,2,2
ATL,1,2013,AUG,5/08/13,LCC,ALVEOPORA,0,0
ATL,1,2013,AUG,5/08/13,LCC,ASTREA,0,0
ATL,1,2013,AUG,5/08/13,LCC,ASTREOPORA,0,0
ATL,1,2013,AUG,5/08/13,LCC,CAULASTREA,0,0
ATL,1,2013,AUG,5/08/13,LCC,COELOSERIS,0,0
ATL,1,2013,AUG,5/08/13,LCC,COSCINARAEA,0,0
ATL,1,2013,AUG,5/08/13,LCC,CTENACTIS,0,0
ATL,1,2013,AUG,5/08/13,LCC,CYNARINA,0,0
ATL,1,2013,AUG,5/08/13,LCC,CYPHASTREA,0,0
ATL,1,2013,AUG,5/08/13,LCC,DIPLOASTREA,1,1
ATL,1,2013,AUG,5/08/13,LCC,DIPSASTRAEA,5,5
ATL,1,2013,AUG,5/08/13,LCC,ECHINOPHYLLIA,0,0
ATL,1,2013,AUG,5/08/13,LCC,ECHINOPORA,3,3
ATL,1,2013,AUG,5/08/13,LCC,EUPHYLLIA,0,0
ATL,1,2013,AUG,5/08/13,LCC,FAVITES,0,0
ATL,1,2013,AUG,5/08/13,LCC,FUNGIA,0,0
ATL,1,2013,AUG,5/08/13,LCC,GALAXEA,0,0
ATL,1,2013,AUG,5/08/13,LCC,GARDINEROSERIS,0,0
ATL,1,2013,AUG,5/08/13,LCC,GONIASTREA,0,0
ATL,1,2013,AUG,5/08/13,LCC,GONIOPORA,7,6.9
ATL,1,2013,AUG,5/08/13,LCC,HYDNOPHORA,0,0
ATL,1,2013,AUG,5/08/13,LCC,LEPTASTREA,0,0
ATL,1,2013,AUG,5/08/13,LCC,LEPTORIA,0,0
ATL,1,2013,AUG,5/08/13,LCC,LEPTOSERIS,0,0
ATL,1,2013,AUG,5/08/13,LCC,LITHOPHYLLON,0,0
ATL,1,2013,AUG,5/08/13,LCC,LOBOPHYLLIA,6,5.9
ATL,1,2013,AUG,5/08/13,LCC,MERULINA,0,0
ATL,1,2013,AUG,5/08/13,LCC,MONTIPORA,10,9.9
ATL,1,2013,AUG,5/08/13,LCC,OULOPHYLLIA,0,0
ATL,1,2013,AUG,5/08/13,LCC,PACHYSERIS,0,0
ATL,1,2013,AUG,5/08/13,LCC,PAVONA,0,0
ATL,1,2013,AUG,5/08/13,LCC,PECTINIA,0,0
ATL,1,2013,AUG,5/08/13,LCC,PHYSOGYRA,0,0
ATL,1,2013,AUG,5/08/13,LCC,PLATYGYRA,0,0
ATL,1,2013,AUG,5/08/13,LCC,PLEROGYRA,0,0
ATL,1,2013,AUG,5/08/13,LCC,POCILLOPORA,0,0
ATL,1,2013,AUG,5/08/13,LCC,PODOBACIA,0,0
ATL,1,2013,AUG,5/08/13,LCC,PORITES,17,16.8
ATL,1,2013,AUG,5/08/13,LCC,PSAMMOCORA,0,0
ATL,1,2013,AUG,5/08/13,LCC,SERIATOPORA,0,0
ATL,1,2013,AUG,5/08/13,LCC,STYLOPHORA,0,0
ATL,1,2013,AUG,5/08/13,LCC,TUBASTREA,0,0
ATL,1,2013,AUG,5/08/13,LCC,TURBINARIA,0,0
ATL,1,2013,AUG,5/08/13,OTHER,ANEMONE,0,0
ATL,1,2013,AUG,5/08/13,OTHER,CLAM,0,0
ATL,1,2013,AUG,5/08/13,OTHER,OTHER LIFE,0,0
ATL,1,2013,AUG,5/08/13,OTHER,SEA CUCUMBER,0,0
ATL,1,2013,AUG,5/08/13,OTHER,SPONGE,0,0
ATL,1,2013,AUG,5/08/13,OTHER,URCHIN,0,0
ATL,1,2013,AUG,5/08/13,OTHER,ZOANTHIDS,0,0
ATL,1,2013,AUG,5/08/13,RUBBLE,RUBBLE,0,0
ATL,1,2013,AUG,5/08/13,SAND,SAND,2,2
ATL,1,2013,AUG,5/08/13,SC,SOFT CORAL,0,0
ATL,1,2013,JUL,28/07/13,ALGAE,ALGAE,0,0
ATL,1,2013,JUL,28/07/13,ALGAE,CRUSTOSE CORALLINE ALGAE,0,0
ATL,1,2013,JUL,28/07/13,DCA,DCA,31,31
ATL,1,2013,JUL,28/07/13,LCC,ACANTHASTREA,0,0
ATL,1,2013,JUL,28/07/13,LCC,ACROPORA,4,4
ATL,1,2013,JUL,28/07/13,LCC,ALVEOPORA,0,0
ATL,1,2013,JUL,28/07/13,LCC,ASTREA,0,0
ATL,1,2013,JUL,28/07/13,LCC,ASTREOPORA,0,0
ATL,1,2013,JUL,28/07/13,LCC,CAULASTREA,0,0
ATL,1,2013,JUL,28/07/13,LCC,COELOSERIS,0,0
ATL,1,2013,JUL,28/07/13,LCC,COSCINARAEA,0,0
ATL,1,2013,JUL,28/07/13,LCC,CTENACTIS,0,0
ATL,1,2013,JUL,28/07/13,LCC,CYNARINA,0,0
ATL,1,2013,JUL,28/07/13,LCC,CYPHASTREA,0,0
ATL,1,2013,JUL,28/07/13,LCC,DIPLOASTREA,0,0
ATL,1,2013,JUL,28/07/13,LCC,DIPSASTRAEA,10,10
ATL,1,2013,JUL,28/07/13,LCC,ECHINOPHYLLIA,0,0
ATL,1,2013,JUL,28/07/13,LCC,ECHINOPORA,6,6
ATL,1,2013,JUL,28/07/13,LCC,EUPHYLLIA,0,0
ATL,1,2013,JUL,28/07/13,LCC,FAVITES,0,0
ATL,1,2013,JUL,28/07/13,LCC,FUNGIA,0,0
ATL,1,2013,JUL,28/07/13,LCC,GALAXEA,0,0
ATL,1,2013,JUL,28/07/13,LCC,GARDINEROSERIS,0,0
ATL,1,2013,JUL,28/07/13,LCC,GONIASTREA,2,2
ATL,1,2013,JUL,28/07/13,LCC,GONIOPORA,4,4
ATL,1,2013,JUL,28/07/13,LCC,HYDNOPHORA,0,0
ATL,1,2013,JUL,28/07/13,LCC,LEPTASTREA,0,0
ATL,1,2013,JUL,28/07/13,LCC,LEPTORIA,0,0
ATL,1,2013,JUL,28/07/13,LCC,LEPTOSERIS,0,0
ATL,1,2013,JUL,28/07/13,LCC,LITHOPHYLLON,0,0
ATL,1,2013,JUL,28/07/13,LCC,LOBOPHYLLIA,0,0
ATL,1,2013,JUL,28/07/13,LCC,MERULINA,0,0
ATL,1,2013,JUL,28/07/13,LCC,MONTIPORA,9,9
ATL,1,2013,JUL,28/07/13,LCC,OULOPHYLLIA,0,0
ATL,1,2013,JUL,28/07/13,LCC,PACHYSERIS,0,0
ATL,1,2013,JUL,28/07/13,LCC,PAVONA,0,0
ATL,1,2013,JUL,28/07/13,LCC,PECTINIA,0,0
ATL,1,2013,JUL,28/07/13,LCC,PHYSOGYRA,0,0
ATL,1,2013,JUL,28/07/13,LCC,PLATYGYRA,0,0
ATL,1,2013,JUL,28/07/13,LCC,PLEROGYRA,0,0
ATL,1,2013,JUL,28/07/13,LCC,POCILLOPORA,0,0
ATL,1,2013,JUL,28/07/13,LCC,PODOBACIA,0,0
ATL,1,2013,JUL,28/07/13,LCC,PORITES,6,6
ATL,1,2013,JUL,28/07/13,LCC,PSAMMOCORA,0,0
ATL,1,2013,JUL,28/07/13,LCC,SERIATOPORA,0,0
ATL,1,2013,JUL,28/07/13,LCC,STYLOPHORA,0,0
ATL,1,2013,JUL,28/07/13,LCC,TUBASTREA,0,0
ATL,1,2013,JUL,28/07/13,LCC,TURBINARIA,0,0
ATL,1,2013,JUL,28/07/13,OTHER,ANEMONE,0,0
ATL,1,2013,JUL,28/07/13,OTHER,CLAM,0,0
ATL,1,2013,JUL,28/07/13,OTHER,OTHER LIFE,0,0
ATL,1,2013,JUL,28/07/13,OTHER,SEA CUCUMBER,0,0
ATL,1,2013,JUL,28/07/13,OTHER,SPONGE,0,0
ATL,1,2013,JUL,28/07/13,OTHER,URCHIN,0,0
ATL,1,2013,JUL,28/07/13,OTHER,ZOANTHIDS,0,0
ATL,1,2013,JUL,28/07/13,RUBBLE,RUBBLE,0,0
ATL,1,2013,JUL,28/07/13,SAND,SAND,28,28
ATL,1,2013,JUL,28/07/13,SC,SOFT CORAL,0,0
ATL,1,2013,MAY,1/05/13,ALGAE,ALGAE,0,0
ATL,1,2013,MAY,1/05/13,ALGAE,CRUSTOSE CORALLINE ALGAE,0,0
ATL,1,2013,MAY,1/05/13,DCA,DCA,61,60.4
ATL,1,2013,MAY,1/05/13,LCC,ACANTHASTREA,0,0
ATL,1,2013,MAY,1/05/13,LCC,ACROPORA,2,2
ATL,1,2013,MAY,1/05/13,LCC,ALVEOPORA,0,0
ATL,1,2013,MAY,1/05/13,LCC,ASTREA,0,0
ATL,1,2013,MAY,1/05/13,LCC,ASTREOPORA,0,0
ATL,1,2013,MAY,1/05/13,LCC,CAULASTREA,0,0
ATL,1,2013,MAY,1/05/13,LCC,COELOSERIS,0,0
ATL,1,2013,MAY,1/05/13,LCC,COSCINARAEA,0,0
ATL,1,2013,MAY,1/05/13,LCC,CTENACTIS,0,0
ATL,1,2013,MAY,1/05/13,LCC,CYNARINA,0,0
ATL,1,2013,MAY,1/05/13,LCC,CYPHASTREA,0,0
ATL,1,2013,MAY,1/05/13,LCC,DIPLOASTREA,0,0
ATL,1,2013,MAY,1/05/13,LCC,DIPSASTRAEA,1,1
ATL,1,2013,MAY,1/05/13,LCC,ECHINOPHYLLIA,0,0
ATL,1,2013,MAY,1/05/13,LCC,ECHINOPORA,0,0
ATL,1,2013,MAY,1/05/13,LCC,EUPHYLLIA,0,0
ATL,1,2013,MAY,1/05/13,LCC,FAVITES,0,0
ATL,1,2013,MAY,1/05/13,LCC,FUNGIA,0,0
ATL,1,2013,MAY,1/05/13,LCC,GALAXEA,0,0
ATL,1,2013,MAY,1/05/13,LCC,GARDINEROSERIS,0,0
ATL,1,2013,MAY,1/05/13,LCC,GONIASTREA,0,0
ATL,1,2013,MAY,1/05/13,LCC,GONIOPORA,5,5
ATL,1,2013,MAY,1/05/13,LCC,HYDNOPHORA,0,0
ATL,1,2013,MAY,1/05/13,LCC,LEPTASTREA,0,0
ATL,1,2013,MAY,1/05/13,LCC,LEPTORIA,0,0
ATL,1,2013,MAY,1/05/13,LCC,LEPTOSERIS,0,0
ATL,1,2013,MAY,1/05/13,LCC,LITHOPHYLLON,0,0
ATL,1,2013,MAY,1/05/13,LCC,LOBOPHYLLIA,6,5.9
ATL,1,2013,MAY,1/05/13,LCC,MERULINA,0,0
ATL,1,2013,MAY,1/05/13,LCC,MONTIPORA,7,6.9
ATL,1,2013,MAY,1/05/13,LCC,OULOPHYLLIA,0,0
ATL,1,2013,MAY,1/05/13,LCC,PACHYSERIS,0,0
ATL,1,2013,MAY,1/05/13,LCC,PAVONA,0,0
ATL,1,2013,MAY,1/05/13,LCC,PECTINIA,0,0
ATL,1,2013,MAY,1/05/13,LCC,PHYSOGYRA,0,0
ATL,1,2013,MAY,1/05/13,LCC,PLATYGYRA,0,0
ATL,1,2013,MAY,1/05/13,LCC,PLEROGYRA,0,0
ATL,1,2013,MAY,1/05/13,LCC,POCILLOPORA,0,0
ATL,1,2013,MAY,1/05/13,LCC,PODOBACIA,0,0
ATL,1,2013,MAY,1/05/13,LCC,PORITES,14,13.9
ATL,1,2013,MAY,1/05/13,LCC,PSAMMOCORA,0,0
ATL,1,2013,MAY,1/05/13,LCC,SERIATOPORA,0,0
ATL,1,2013,MAY,1/05/13,LCC,STYLOPHORA,0,0
ATL,1,2013,MAY,1/05/13,LCC,TUBASTREA,0,0
ATL,1,2013,MAY,1/05/13,LCC,TURBINARIA,0,0
ATL,1,2013,MAY,1/05/13,OTHER,ANEMONE,0,0
ATL,1,2013,MAY,1/05/13,OTHER,CLAM,0,0
ATL,1,2013,MAY,1/05/13,OTHER,OTHER LIFE,0,0
ATL,1,2013,MAY,1/05/13,OTHER,SEA CUCUMBER,0,0
ATL,1,2013,MAY,1/05/13,OTHER,SPONGE,0,0
ATL,1,2013,MAY,1/05/13,OTHER,URCHIN,0,0
ATL,1,2013,MAY,1/05/13,OTHER,ZOANTHIDS,0,0
ATL,1,2013,MAY,1/05/13,RUBBLE,RUBBLE,0,0
ATL,1,2013,MAY,1/05/13,SAND,SAND,5,5
ATL,1,2013,MAY,1/05/13,SC,SOFT CORAL,0,0
ATL,1,2014,SEP,29/09/14,ALGAE,ALGAE,0,0
ATL,1,2014,SEP,29/09/14,ALGAE,CRUSTOSE CORALLINE ALGAE,0,0
ATL,1,2014,SEP,29/09/14,DCA,DCA,54,53.5
ATL,1,2014,SEP,29/09/14,LCC,ACANTHASTREA,0,0
ATL,1,2014,SEP,29/09/14,LCC,ACROPORA,4,4
ATL,1,2014,SEP,29/09/14,LCC,ALVEOPORA,0,0
ATL,1,2014,SEP,29/09/14,LCC,ASTREA,0,0
ATL,1,2014,SEP,29/09/14,LCC,ASTREOPORA,5,5
ATL,1,2014,SEP,29/09/14,LCC,CAULASTREA,0,0
ATL,1,2014,SEP,29/09/14,LCC,COELOSERIS,0,0
ATL,1,2014,SEP,29/09/14,LCC,COSCINARAEA,0,0
ATL,1,2014,SEP,29/09/14,LCC,CTENACTIS,0,0
ATL,1,2014,SEP,29/09/14,LCC,CYNARINA,0,0
ATL,1,2014,SEP,29/09/14,LCC,CYPHASTREA,0,0
ATL,1,2014,SEP,29/09/14,LCC,DIPLOASTREA,0,0
ATL,1,2014,SEP,29/09/14,LCC,DIPSASTRAEA,6,5.9
ATL,1,2014,SEP,29/09/14,LCC,ECHINOPHYLLIA,0,0
ATL,1,2014,SEP,29/09/14,LCC,ECHINOPORA,13,12.9
ATL,1,2014,SEP,29/09/14,LCC,EUPHYLLIA,0,0
ATL,1,2014,SEP,29/09/14,LCC,FAVITES,1,1
ATL,1,2014,SEP,29/09/14,LCC,FUNGIA,0,0
ATL,1,2014,SEP,29/09/14,LCC,GALAXEA,0,0
ATL,1,2014,SEP,29/09/14,LCC,GARDINEROSERIS,0,0
ATL,1,2014,SEP,29/09/14,LCC,GONIASTREA,0,0
ATL,1,2014,SEP,29/09/14,LCC,GONIOPORA,1,1
ATL,1,2014,SEP,29/09/14,LCC,HYDNOPHORA,0,0
ATL,1,2014,SEP,29/09/14,LCC,LEPTASTREA,0,0
ATL,1,2014,SEP,29/09/14,LCC,LEPTORIA,0,0
ATL,1,2014,SEP,29/09/14,LCC,LEPTOSERIS,0,0
ATL,1,2014,SEP,29/09/14,LCC,LITHOPHYLLON,0,0
ATL,1,2014,SEP,29/09/14,LCC,LOBOPHYLLIA,2,2
ATL,1,2014,SEP,29/09/14,LCC,MERULINA,0,0
ATL,1,2014,SEP,29/09/14,LCC,MONTIPORA,0,0
ATL,1,2014,SEP,29/09/14,LCC,OULOPHYLLIA,0,0
ATL,1,2014,SEP,29/09/14,LCC,PACHYSERIS,0,0
ATL,1,2014,SEP,29/09/14,LCC,PAVONA,0,0
ATL,1,2014,SEP,29/09/14,LCC,PECTINIA,0,0
ATL,1,2014,SEP,29/09/14,LCC,PHYSOGYRA,0,0
ATL,1,2014,SEP,29/09/14,LCC,PLATYGYRA,1,1
ATL,1,2014,SEP,29/09/14,LCC,PLEROGYRA,0,0
ATL,1,2014,SEP,29/09/14,LCC,POCILLOPORA,0,0
ATL,1,2014,SEP,29/09/14,LCC,PODOBACIA,0,0
ATL,1,2014,SEP,29/09/14,LCC,PORITES,3,3
ATL,1,2014,SEP,29/09/14,LCC,PSAMMOCORA,0,0
ATL,1,2014,SEP,29/09/14,LCC,SERIATOPORA,0,0
ATL,1,2014,SEP,29/09/14,LCC,STYLOPHORA,0,0
ATL,1,2014,SEP,29/09/14,LCC,TUBASTREA,0,0
ATL,1,2014,SEP,29/09/14,LCC,TURBINARIA,0,0
ATL,1,2014,SEP,29/09/14,OTHER,ANEMONE,0,0
ATL,1,2014,SEP,29/09/14,OTHER,CLAM,0,0
ATL,1,2014,SEP,29/09/14,OTHER,OTHER LIFE,0,0
ATL,1,2014,SEP,29/09/14,OTHER,SEA CUCUMBER,0,0
ATL,1,2014,SEP,29/09/14,OTHER,SPONGE,0,0
ATL,1,2014,SEP,29/09/14,OTHER,URCHIN,0,0
ATL,1,2014,SEP,29/09/14,OTHER,ZOANTHIDS,0,0
ATL,1,2014,SEP,29/09/14,RUBBLE,RUBBLE,0,0
ATL,1,2014,SEP,29/09/14,SAND,SAND,11,10.9
ATL,1,2014,SEP,29/09/14,SC,SOFT CORAL,0,0
ATL,1,2015,JUN,15/06/15,ALGAE,ALGAE,0,0
ATL,1,2015,JUN,15/06/15,ALGAE,CRUSTOSE CORALLINE ALGAE,0,0
ATL,1,2015,JUN,15/06/15,DCA,DCA,36,35.6
ATL,1,2015,JUN,15/06/15,LCC,ACANTHASTREA,0,0
ATL,1,2015,JUN,15/06/15,LCC,ACROPORA,0,0
ATL,1,2015,JUN,15/06/15,LCC,ALVEOPORA,0,0
ATL,1,2015,JUN,15/06/15,LCC,ASTREA,1,1
ATL,1,2015,JUN,15/06/15,LCC,ASTREOPORA,0,0
ATL,1,2015,JUN,15/06/15,LCC,CAULASTREA,0,0
ATL,1,2015,JUN,15/06/15,LCC,COELOSERIS,0,0
ATL,1,2015,JUN,15/06/15,LCC,COSCINARAEA,0,0
ATL,1,2015,JUN,15/06/15,LCC,CTENACTIS,0,0
ATL,1,2015,JUN,15/06/15,LCC,CYNARINA,0,0
ATL,1,2015,JUN,15/06/15,LCC,CYPHASTREA,0,0
ATL,1,2015,JUN,15/06/15,LCC,DIPLOASTREA,0,0
ATL,1,2015,JUN,15/06/15,LCC,DIPSASTRAEA,0,0
ATL,1,2015,JUN,15/06/15,LCC,ECHINOPHYLLIA,0,0
ATL,1,2015,JUN,15/06/15,LCC,ECHINOPORA,1,1
ATL,1,2015,JUN,15/06/15,LCC,EUPHYLLIA,0,0
ATL,1,2015,JUN,15/06/15,LCC,FAVITES,0,0
ATL,1,2015,JUN,15/06/15,LCC,FUNGIA,0,0
ATL,1,2015,JUN,15/06/15,LCC,GALAXEA,0,0
ATL,1,2015,JUN,15/06/15,LCC,GARDINEROSERIS,0,0
ATL,1,2015,JUN,15/06/15,LCC,GONIASTREA,0,0
ATL,1,2015,JUN,15/06/15,LCC,GONIOPORA,4,4
ATL,1,2015,JUN,15/06/15,LCC,HYDNOPHORA,0,0
ATL,1,2015,JUN,15/06/15,LCC,LEPTASTREA,0,0
ATL,1,2015,JUN,15/06/15,LCC,LEPTORIA,0,0
ATL,1,2015,JUN,15/06/15,LCC,LEPTOSERIS,0,0
ATL,1,2015,JUN,15/06/15,LCC,LITHOPHYLLON,0,0
ATL,1,2015,JUN,15/06/15,LCC,LOBOPHYLLIA,2,2
ATL,1,2015,JUN,15/06/15,LCC,MERULINA,0,0
ATL,1,2015,JUN,15/06/15,LCC,MONTIPORA,0,0
ATL,1,2015,JUN,15/06/15,LCC,OULOPHYLLIA,0,0
ATL,1,2015,JUN,15/06/15,LCC,PACHYSERIS,0,0
ATL,1,2015,JUN,15/06/15,LCC,PAVONA,2,2
ATL,1,2015,JUN,15/06/15,LCC,PECTINIA,0,0
